target_symbol	exposure_id	n_exposure	nsnp	mean_f	min_f	r2_total_approx	phenocode	n_case	n_control	neff_approx	mde_or_approx
GLP1R	ebi-a-GCST90014006	389889	2	31.0321557955718	28.8634595313746	0.000159172652584576	K11_CHOLELITH	49834	437418	178948.787173783	1.69034836014457
GLP1R	ebi-a-GCST90014006	389889	2	31.0321557955718	28.8634595313746	0.000159172652584576	K11_CHOLECYSTECTOMY	36556	463792	135540.706484287	1.82789140147236
GIPR	ebi-a-GCST90014006	389889	2	108.195812328772	60.1321029261292	0.000554826785948839	K11_CHOLELITH	49834	437418	178948.787173783	1.32467171935601
GIPR	ebi-a-GCST90014006	389889	2	108.195812328772	60.1321029261292	0.000554826785948839	K11_CHOLECYSTECTOMY	36556	463792	135540.706484287	1.38135549021084
SLC5A2	ebi-a-GCST90014006	389889	2	136.399382808259	105.517992180678	0.000699429514963036	K11_CHOLELITH	49834	437418	178948.787173783	1.28456368657911
SLC5A2	ebi-a-GCST90014006	389889	2	136.399382808259	105.517992180678	0.000699429514963036	K11_CHOLECYSTECTOMY	36556	463792	135540.706484287	1.33340769937829
